,COMPANY,BUSINESS_IN_FORCE_NEW_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_NEW_SUM_INSURED,BUSINESS_IN_FORCE_NEW_PREMIUMS,BUSINESS_IN_FORCE_TOTAL_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_TOTAL_SUM_INSURED,BUSINESS_IN_FORCE_TOTAL_PREMIUMS,YEARS,GROSS_DIRECT_PREMIUM,INWARD_REINSURANCE,OUTWARD_REINSURANCE,NET_PREMIUM_WRITTEN,UPR_B/F,UNEXPIRED_RISK_RESERVE_(B/F),UPR_C/F,UNEXPIRED_RISK_RESERVE_(B/F).1,NET_EARNED_PREMIUM_INCOME,INCURRED_CLAIMS,NET_COMMISIONS,EXPENSE_OF_MANAGEMENT,UNDERWRITING_PROFIT/(LOSS),INVESTMENT_INCOME,PROFIT_TRANSFERRED_TO_P&L,NET_PAID_CLAIMS_AVIATION,NET_PAID_CLAIMS_ENGINEERING,NET_PAID_CLAIMS_FIRE_DOMESTIC,NET_PAID_CLAIMS_FIRE_INDUSTRIAL,NET_PAID_CLAIMS_LIABILITY,NET_PAID_CLAIMS_MARINE,NET_PAID_CLAIMS_MOTOR_PRIVATE,NET_PAID_CLAIMS_MOTOR_COMMERCIAL,NET_PAID_CLAIMS_MOTOR_COMMERCIAL_PSV,NET_PAID_CLAIMS_PERSONAL_ACCIDENT,NET_PAID_CLAIMS_THEFT,NET_PAID_CLAIMS_WORKMENS'_COMPENSATION,NET_PAID_CLAIMS_MEDICAL,NET_PAID_CLAIMS_MISCELLANEOUS,NET_PAID_CLAIMS_TOTAL,SHARE_CAPITAL,SHARE_PREMIUM,REVALUATION_RESERVES,STATUTORY_RESERVES,RETAINED_EARNINGS,OTHER_RESERVES,TOTAL_EQUITY,UNDERWRITING_PROVISIONS,ACTUARIAL_CONTRACT_LIABILITIES,LONGTERM_LIABILITIES,CURRENT_LIABILITIES,TOTAL_EQUITY_AND_LIABILITIES,LAND_AND_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,GOVERNMENT_SECURITIES,OTHER_SECURITIES,INVESTMENT_IN_RELATED_COMPANIES,CORPORATE_BONDS,COMMERCIAL_PAPERS,DEBENTURES,ORDINARY_SHARES_QUOTED,ORDINARY_SHARES_UNQUOTED,PREFERENCE_SHARES_QUOTED,PREFERENCE_SHARES_UNQUOTED,LOANS_SECURED_&_UNSECURED,MORTGAGES,TERM_DEPOSITS,CASH_AND_CASH_BALANCES,OUTSTANDING_PREMIUMS,OTHER_RECEIVABLES,OTHER_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,NET_EARNED_PREMIUM_AVIATION,NET_EARNED_PREMIUM_ENGINEERING,NET_EARNED_PREMIUM_FIRE_DOMESTIC,NET_EARNED_PREMIUM_FIRE_INDUSTRIAL,NET_EARNED_PREMIUM_LIABILITY,NET_EARNED_PREMIUM_MARINE,NET_EARNED_PREMIUM_MOTOR_PRIVATE,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL_PSV,NET_EARNED_PREMIUM_PERSONAL_ACCIDENT,NET_EARNED_PREMIUM_THEFT,NET_EARNED_PREMIUM_WORKMENS'_COMPENSATION,NET_EARNED_PREMIUM_MEDICAL,NET_EARNED_PREMIUM_MISCELLANEOUS,NET_EARNED_PREMIUM_TOTAL,INCURRED_CLAIMS_AVIATION,INCURRED_CLAIMS_ENGINEERING,INCURRED_CLAIMS_FIRE_DOMESTIC,INCURRED_CLAIMS_FIRE_INDUSTRIAL,INCURRED_CLAIMS_LIABILITY,INCURRED_CLAIMS_MARINE,INCURRED_CLAIMS_MOTOR_PRIVATE,INCURRED_CLAIMS_MOTOR_COMMERCIAL,INCURRED_CLAIMS_MOTOR_COMMERCIAL_PSV,INCURRED_CLAIMS_PERSONAL_ACCIDENT,INCURRED_CLAIMS_THEFT,INCURRED_CLAIMS_WORKMENS'_COMPENSATION,INCURRED_CLAIMS_MEDICAL,INCURRED_CLAIMS_MISCELLANEOUS,INCURRED_CLAIMS_TOTAL,BUSINESS_IN_FORCE_NEW_SUMS_INSURED,BUSINESS_IN_FORCE_TOTAL_SUMS_INSURED,UNNAMED:_1
15,ICEA LION GENERAL INSURANCE COMPANY LTD,16151.0,,,49097.0,,,2017,6051487.0,51843.0,2666996.0,3436333.0,1373209.0,0.0,1071633.0,0.0,3737910.0,2200520.0,302919.0,1007643.0,226828.0,0.0,226828.0,7413.0,8484.0,22107.0,44112.0,9286.0,80387.0,842434.0,400169.0,0.0,77093.0,88862.0,168718.0,212740.0,1849.0,1963654.0,1000000.0,0.0,365035.0,0.0,2748505.0,150000.0,4263540.0,4426201.0,0.0,484447.0,1052253.0,10226441.0,0.0,2730000.0,130202.0,4642316.0,44700.0,50147.0,259896.0,0.0,0.0,917454.0,12248.0,0.0,0.0,20252.0,0.0,210452.0,13108.0,710342.0,120961.0,136546.0,227816.0,10226441.0,5864.0,86536.0,79331.0,178081.0,51401.0,166640.0,1360038.0,656233.0,0.0,133215.0,219245.0,439865.0,352229.0,9231.0,3737910.0,10322.0,13690.0,9049.0,110980.0,20282.0,22757.0,956052.0,376755.0,0.0,78058.0,111318.0,251568.0,236199.0,3491.0,2200521.0,667739951.551,2864654173.622,
16,INTRA-AFRICA INSURANCE COMPANY LTD,15679.0,,,30507.0,,,2017,1034428.0,0.0,171705.0,862723.0,379991.0,0.0,368795.0,0.0,873919.0,470288.0,62685.0,328750.0,12196.0,18358.0,30554.0,0.0,4552.0,17095.0,24576.0,2106.0,48419.0,183680.0,91315.0,0.0,5855.0,22980.0,54250.0,0.0,4377.0,459205.0,400000.0,0.0,339072.0,0.0,110617.0,10000.0,859689.0,864618.0,0.0,61448.0,75507.0,1861263.0,136800.0,301200.0,19285.0,238135.0,0.0,0.0,0.0,0.0,0.0,66994.0,0.0,0.0,0.0,20855.0,12733.0,248746.0,18745.0,658905.0,99722.0,0.0,39142.0,1861263.0,0.0,23423.0,19747.0,45917.0,2091.0,72088.0,291531.0,193267.0,0.0,11142.0,37171.0,138279.0,0.0,39261.0,873919.0,0.0,20925.0,22247.0,19062.0,12753.0,71035.0,173294.0,30677.0,0.0,14381.0,41314.0,52096.0,0.0,12504.0,470288.0,104164934.056,228213613.634,
17,INVESCO ASSURANCE COMPANY LTD,38514.0,,,76674.0,,,2017,2070194.0,0.0,191559.0,1878635.0,321883.0,0.0,216827.0,0.0,1983691.0,1161097.0,217348.0,868201.0,-262954.0,0.0,-262954.0,0.0,0.0,166.0,470.0,0.0,0.0,76647.0,44256.0,1007755.0,1437.0,1167.0,67.0,0.0,0.0,1131965.0,1925000.0,0.0,345.0,0.0,-1510511.0,0.0,414834.0,2515948.0,0.0,200000.0,221859.0,3352641.0,72622.0,1423480.0,48980.0,177000.0,0.0,0.0,0.0,0.0,0.0,1793.0,625.0,0.0,0.0,0.0,0.0,88394.0,353446.0,412882.0,275502.0,0.0,497916.0,3352641.0,0.0,-150.0,-649.0,-2437.0,7.0,-161.0,173942.0,82903.0,1728741.0,217.0,1144.0,-386.0,0.0,519.0,1983691.0,0.0,-16.0,-1829.0,-2060.0,-2.0,18.0,113827.0,58438.0,992404.0,750.0,-642.0,209.0,0.0,0.0,1161097.0,3066432.729,5014906.129,
18,JUBILEE INSURANCE COMPANY,19972.0,,,51124.0,,,2017,11313367.0,162864.0,3505797.0,7970434.0,4134666.0,0.0,2907014.0,0.0,9198086.0,5584300.0,707113.0,1846791.0,1059882.0,937247.0,1997129.0,0.0,33596.0,21711.0,71559.0,72949.0,29730.0,886282.0,335151.0,0.0,299583.0,66446.0,26180.0,3947896.0,26076.0,5817159.0,2000000.0,0.0,204160.0,0.0,4116230.0,1000000.0,7320390.0,5379682.0,0.0,0.0,387354.0,13087425.0,0.0,0.0,65425.0,3301863.0,0.0,1839745.0,14318.0,0.0,0.0,1846042.0,597240.0,432.0,0.0,5312.0,77765.0,914223.0,478281.0,3028585.0,505891.0,101247.0,311057.0,13087425.0,7570.0,49173.0,50489.0,273790.0,121402.0,110469.0,1248580.0,728524.0,0.0,382145.0,132453.0,72822.0,5946035.0,74636.0,9198086.0,-159.0,28397.0,18587.0,72471.0,102010.0,19477.0,872436.0,357192.0,0.0,232309.0,48547.0,-87090.0,3906529.0,13595.0,5584301.0,443881298.349,1682712061.944,
19,KENINDIA ASSURANCE COMPANY LTD,0.0,,,0.0,,,2017,2966570.0,47962.0,1088336.0,1926196.0,737705.0,0.0,679437.0,0.0,1984463.0,1337550.0,158388.0,644129.0,-155605.0,504788.0,349183.0,0.0,40866.0,30193.0,51502.0,9216.0,95552.0,186295.0,317491.0,0.0,6088.0,56964.0,334642.0,119021.0,61.0,1247891.0,400000.0,1198.0,307534.0,0.0,2045252.0,387375.0,3141359.0,2457186.0,0.0,216401.0,2001500.0,7816446.0,746963.0,1203915.0,68590.0,2496457.0,0.0,81905.0,52780.0,46283.0,0.0,58347.0,547506.0,0.0,0.0,10186.0,0.0,663450.0,14328.0,479231.0,0.0,1295992.0,50513.0,7816446.0,17.0,22233.0,38935.0,103965.0,25570.0,212271.0,337206.0,582380.0,0.0,17282.0,104164.0,406927.0,126547.0,6964.0,1984463.0,0.0,43638.0,30055.0,42885.0,15389.0,84646.0,195800.0,338381.0,0.0,6546.0,64722.0,387935.0,126505.0,1048.0,1337550.0,0.0,0.0,
20,KENYA ORIENT INSURANCE COMPANY,40957.0,,,78987.0,,,2017,1847117.0,40593.0,265436.0,1622274.0,1081841.0,0.0,702279.0,0.0,2001836.0,1191244.0,147217.0,678072.0,-14696.0,0.0,-14696.0,0.0,1222.0,2581.0,3451.0,14009.0,1988.0,540104.0,476117.0,0.0,691.0,4899.0,8126.0,0.0,15952.0,1069140.0,810721.0,0.0,55679.0,0.0,-144987.0,50000.0,771413.0,1496449.0,0.0,94040.0,100066.0,2461968.0,141500.0,533823.0,38781.0,149024.0,0.0,170000.0,5254.0,0.0,0.0,8338.0,646137.0,0.0,0.0,0.0,0.0,57854.0,10675.0,313012.0,41708.0,217698.0,128163.0,2461968.0,0.0,30838.0,19689.0,46703.0,38505.0,13463.0,803800.0,934525.0,0.0,6279.0,4312.0,81242.0,0.0,22479.0,2001836.0,0.0,4754.0,6622.0,11338.0,-453.0,55694.0,759410.0,298021.0,148.0,590.0,12340.0,14925.0,0.0,27856.0,1191245.0,98674691.383,181703818.85,
21,MADISON INSURANCE COMPANY LTD,21065.0,,,72980.0,,,2017,3887818.0,42475.0,113648.0,3816645.0,1215887.0,0.0,1722429.0,0.0,3310103.0,2334621.0,341068.0,736971.0,-102558.0,174166.0,71608.0,0.0,5745.0,305.0,1268.0,10630.0,1355.0,475300.0,519876.0,0.0,14074.0,3420.0,13850.0,1094058.0,17220.0,2157101.0,300000.0,0.0,0.0,0.0,824887.0,0.0,1124887.0,2660815.0,0.0,0.0,195164.0,3980866.0,0.0,898000.0,56286.0,653013.0,0.0,0.0,16588.0,0.0,0.0,1969.0,363359.0,0.0,0.0,0.0,0.0,476219.0,36663.0,1013031.0,220384.0,24071.0,221284.0,3980866.0,0.0,-306.0,23776.0,13931.0,65480.0,4230.0,533512.0,1000522.0,0.0,15672.0,12462.0,28292.0,1534059.0,78474.0,3310103.0,0.0,2335.0,1315.0,-5899.0,2840.0,-317.0,439413.0,691414.0,0.0,9173.0,-1081.0,14184.0,1170122.0,11123.0,2334622.0,47479205.095,1121743371.352,
22,MAYFAIR INSURANCE COMPANY LTD,11823.0,,,34099.0,,,2017,2353361.0,78059.0,1068744.0,1362676.0,456003.0,0.0,495996.0,0.0,1322682.0,618725.0,99088.0,344114.0,260755.0,0.0,260755.0,0.0,32466.0,10788.0,25907.0,1302.0,28952.0,135515.0,78956.0,0.0,1229.0,11393.0,98015.0,0.0,534.0,425057.0,750000.0,0.0,429564.0,0.0,905425.0,150000.0,2234989.0,1933666.0,0.0,0.0,366033.0,4534689.0,226761.0,460458.0,76135.0,730458.0,0.0,454875.0,98895.0,0.0,0.0,197161.0,608280.0,0.0,0.0,14065.0,0.0,1062042.0,14572.0,473263.0,0.0,106573.0,11150.0,4534689.0,39.0,55012.0,25055.0,106147.0,31143.0,127248.0,288998.0,258320.0,0.0,21543.0,38091.0,338564.0,0.0,32521.0,1322682.0,-1.0,35843.0,13569.0,42403.0,8514.0,42331.0,176095.0,129566.0,0.0,-1389.0,9043.0,159473.0,0.0,3277.0,618724.0,1304617867.839,2423688019.76,
23,OCCIDENTAL INSURANCE COMPANY LTD,51768.0,,,86849.0,,,2017,2586467.0,10925.0,674258.0,1923134.0,462599.0,0.0,665608.0,0.0,1720125.0,1152401.0,196148.0,410238.0,-38662.0,233459.0,194797.0,0.0,40130.0,29457.0,64247.0,1113.0,52143.0,239498.0,328637.0,0.0,8028.0,22404.0,220371.0,0.0,14425.0,1020453.0,693000.0,0.0,15124.0,0.0,401758.0,12474.0,1122356.0,1933366.0,0.0,11782.0,299490.0,3366994.0,0.0,531000.0,46144.0,1201394.0,0.0,0.0,14675.0,0.0,0.0,131380.0,100825.0,0.0,0.0,0.0,0.0,135022.0,52747.0,952256.0,27994.0,41968.0,131589.0,3366994.0,0.0,23978.0,39111.0,71525.0,3133.0,66979.0,561703.0,571563.0,0.0,10690.0,58233.0,299878.0,0.0,13331.0,1720125.0,0.0,38503.0,23826.0,71112.0,1176.0,51641.0,312216.0,339354.0,0.0,3740.0,23109.0,280292.0,0.0,7432.0,1152401.0,160126907.799,425543528.302,
24,PACIS INSURANCE COMPANY LTD,12952.0,,,28755.0,,,2017,1217079.0,0.0,256445.0,960633.0,349912.0,0.0,417039.0,0.0,893507.0,378487.0,119222.0,417282.0,-21484.0,91211.0,69726.0,0.0,232.0,2223.0,9787.0,5753.0,0.0,184127.0,74206.0,0.0,2686.0,6710.0,13222.0,48428.0,199.0,347573.0,534605.0,17712.0,0.0,0.0,408138.0,-477.0,959977.0,1120376.0,0.0,0.0,232757.0,2313109.0,113850.0,730000.0,29475.0,224955.0,0.0,0.0,0.0,0.0,0.0,19545.0,65221.0,0.0,0.0,0.0,0.0,111720.0,19300.0,864717.0,0.0,61010.0,73315.0,2313109.0,0.0,3388.0,4309.0,32461.0,15447.0,-2004.0,306459.0,270714.0,0.0,85693.0,27157.0,63256.0,85275.0,1353.0,893507.0,0.0,2653.0,1644.0,15773.0,16594.0,237.0,187707.0,65569.0,0.0,5973.0,-2498.0,14530.0,70265.0,40.0,378487.0,55637133.789,187481888.853,
25,PHOENIX OF EAST AFRICA ASSURANCE COMPANY,4103.0,,,6673.0,,,2017,557913.0,106842.0,343145.0,321610.0,104229.0,0.0,122062.0,0.0,303777.0,73484.0,37001.0,354226.0,-160935.0,146068.0,-14867.0,1203.0,4592.0,762.0,4463.0,13925.0,-3691.0,81978.0,6474.0,0.0,-6080.0,-10185.0,644.0,0.0,228.0,94313.0,300000.0,0.0,2532.0,0.0,695447.0,0.0,997979.0,413139.0,0.0,0.0,115996.0,1527113.0,0.0,0.0,22375.0,576849.0,0.0,143807.0,0.0,0.0,0.0,3591.0,0.0,0.0,0.0,2158.0,0.0,81570.0,25542.0,382533.0,58735.0,190727.0,39226.0,1527113.0,2421.0,9249.0,6547.0,27143.0,27160.0,4704.0,117862.0,57239.0,0.0,8556.0,16071.0,23670.0,0.0,3154.0,303777.0,-68144.0,3699.0,-1198.0,15190.0,42071.0,-3521.0,153520.0,-42477.0,0.0,-8390.0,-6482.0,-1440.0,0.0,-9344.0,73484.0,152194363.828,266939776.973,
26,PIONEER INSURANCE COMPANY LTD,0.0,,,0.0,,,2017,325521.0,777.0,146162.0,180136.0,0.0,0.0,95990.0,0.0,84145.0,39294.0,-199.0,98651.0,-53601.0,0.0,-53601.0,0.0,134.0,99.0,0.0,18.0,1091.0,8100.0,6583.0,0.0,8.0,263.0,119.0,0.0,29.0,16444.0,600000.0,0.0,0.0,0.0,3143.0,0.0,603143.0,203240.0,0.0,0.0,239972.0,1046355.0,0.0,0.0,3367.0,38008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.0,0.0,723506.0,38762.0,181761.0,23213.0,381.0,36198.0,1046355.0,0.0,1300.0,729.0,3916.0,2523.0,7386.0,23044.0,15660.0,0.0,5575.0,149.0,10018.0,0.0,13846.0,84145.0,0.0,444.0,147.0,463.0,418.0,1561.0,18395.0,11114.0,0.0,1607.0,316.0,2299.0,0.0,2530.0,39294.0,0.0,0.0,
27,SAHAM INSURANCE COMPANY LTD,13484.0,,,20252.0,,,2017,2138855.0,12340.0,1173847.0,977348.0,320220.0,0.0,433802.0,55442.0,808324.0,423575.0,-54852.0,434471.0,5129.0,99674.0,104803.0,0.0,14449.0,5376.0,4735.0,1015.0,2091.0,143235.0,43555.0,0.0,2719.0,5142.0,12058.0,79064.0,-2166.0,311273.0,402000.0,0.0,-2178.0,0.0,228268.0,0.0,628090.0,752841.0,0.0,0.0,563133.0,1944065.0,0.0,0.0,9298.0,582775.0,0.0,0.0,76160.0,0.0,0.0,33808.0,0.0,0.0,0.0,0.0,0.0,480052.0,94343.0,469958.0,589.0,94835.0,102247.0,1944065.0,0.0,20122.0,10144.0,17152.0,3080.0,10612.0,222604.0,175653.0,0.0,-420298.0,26266.0,107205.0,534654.0,101131.0,808324.0,0.0,20390.0,5401.0,6481.0,-5820.0,4559.0,195406.0,77130.0,0.0,6117.0,4833.0,38834.0,72317.0,-2072.0,423576.0,543722999.766,938210309.783,
28,SANLAM INSURANCE COMPANY LTD ,18671.0,,,27380.0,,,2017,2154915.0,0.0,554308.0,1600608.0,380767.0,0.0,492768.0,0.0,1488607.0,769876.0,61465.0,616370.0,40895.0,61612.0,102508.0,0.0,7087.0,2481.0,7423.0,48.0,3975.0,153640.0,98714.0,77220.0,110.0,2850.0,1948.0,380226.0,913.0,736635.0,788600.0,102760.0,77618.0,0.0,-205454.0,0.0,763524.0,1613549.0,0.0,0.0,312297.0,2689370.0,0.0,1056700.0,19123.0,388910.0,0.0,0.0,20000.0,0.0,0.0,691.0,104103.0,0.0,0.0,8022.0,0.0,78210.0,61348.0,624143.0,-2604.0,310446.0,20279.0,2689370.0,0.0,14619.0,9775.0,18639.0,35954.0,17519.0,412678.0,272840.0,130887.0,11840.0,25005.0,50076.0,471599.0,17175.0,1488607.0,0.0,4482.0,-962.0,17165.0,-3708.0,4154.0,276349.0,89892.0,-20521.0,2259.0,7140.0,8858.0,385621.0,-854.0,769875.0,139038046.648,200916168.387,
29,TAKAFUL INSURANCE OF AFRICA LTD,2940.0,,,7586.0,,,2017,847826.0,0.0,209552.0,638274.0,334641.0,-6685.0,474387.0,0.0,491842.0,189066.0,-10528.0,519079.0,-205776.0,30243.0,-175533.0,0.0,93.0,702.0,2002.0,2956.0,295.0,47738.0,72105.0,0.0,417.0,7692.0,14710.0,19089.0,29171.0,196970.0,470203.0,50000.0,0.0,0.0,-136224.0,0.0,383979.0,835432.0,0.0,40000.0,321289.0,1580700.0,0.0,21100.0,29932.0,32907.0,0.0,0.0,56769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458370.0,85924.0,244718.0,0.0,560501.0,90480.0,1580700.0,0.0,8988.0,6267.0,13412.0,11199.0,-1089.0,156731.0,209678.0,0.0,14287.0,30985.0,30381.0,72538.0,-61536.0,491842.0,0.0,-4132.0,1899.0,4583.0,-1775.0,849.0,88534.0,75764.0,0.0,3330.0,-45026.0,32563.0,13524.0,18953.0,189066.0,31729236.26,73264074.182,
30,TAUSI ASSURANCE COMPANY LTD,10294.0,,,22218.0,,,2017,1045522.0,15547.0,329555.0,731514.0,232469.0,0.0,219998.0,0.0,743986.0,242928.0,87735.0,307223.0,106099.0,0.0,106099.0,0.0,3781.0,7036.0,10583.0,1427.0,26174.0,65851.0,33664.0,0.0,1647.0,29335.0,62060.0,0.0,998.0,242556.0,600000.0,0.0,174111.0,0.0,552348.0,7508.0,1333967.0,723024.0,0.0,62656.0,127539.0,2247186.0,303500.0,0.0,17310.0,977883.0,0.0,0.0,0.0,14446.0,0.0,229816.0,7039.0,0.0,0.0,8850.0,139354.0,363281.0,22536.0,88599.0,0.0,24899.0,49673.0,2247186.0,0.0,12320.0,28590.0,48702.0,13141.0,88230.0,153093.0,95862.0,0.0,12356.0,96961.0,175376.0,0.0,19355.0,743986.0,0.0,2361.0,2702.0,13871.0,1862.0,27962.0,57887.0,43890.0,0.0,1076.0,21190.0,70853.0,0.0,-728.0,242926.0,144422474.907,316425208.469,
31,THE KENYAN ALLIANCE INSURANCE COMPANY LTD,16609.0,,,36077.0,,,2017,1156076.0,1887.0,145053.0,1012911.0,492347.0,0.0,564157.0,0.0,941101.0,356673.0,77249.0,507672.0,-493.0,274329.0,273837.0,0.0,106.0,-59.0,11088.0,250.0,4839.0,270170.0,159881.0,0.0,5634.0,18534.0,12886.0,0.0,135.0,483464.0,300000.0,0.0,2750.0,0.0,1092028.0,1679.0,1396458.0,1241311.0,0.0,58991.0,428218.0,3124977.0,0.0,1060349.0,46062.0,332094.0,0.0,0.0,27090.0,0.0,0.0,24679.0,52635.0,0.0,0.0,205911.0,0.0,251844.0,29107.0,801326.0,150590.0,79267.0,64023.0,3124977.0,0.0,11731.0,24265.0,14925.0,20019.0,-15102.0,410801.0,326559.0,29708.0,28157.0,36778.0,51808.0,0.0,1452.0,941101.0,0.0,5969.0,-8432.0,17840.0,10268.0,11605.0,195617.0,114374.0,0.0,16825.0,24117.0,-32749.0,0.0,1239.0,356673.0,65884525.321,149713617.33,
32,THE MONARCH INSURANCE COMPANY LTD,91550.0,,,122635.0,,,2017,1160022.0,35317.0,129011.0,1066328.0,406522.0,0.0,476687.0,0.0,996163.0,463987.0,56294.0,407188.0,68694.0,0.0,68694.0,0.0,271.0,418.0,3960.0,88.0,41.0,203100.0,107390.0,0.0,1292.0,198.0,4154.0,0.0,6940.0,327852.0,316476.0,0.0,0.0,0.0,111277.0,0.0,427753.0,973182.0,0.0,0.0,57475.0,1458410.0,0.0,414441.0,18025.0,95583.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,126331.0,72798.0,624020.0,3250.0,41734.0,62171.0,1458410.0,0.0,3256.0,1408.0,9757.0,4100.0,788.0,514676.0,325013.0,0.0,25320.0,1762.0,35820.0,0.0,74263.0,996163.0,0.0,489.0,408.0,3711.0,650.0,228.0,285613.0,161152.0,0.0,1576.0,-1503.0,4681.0,0.0,6982.0,463987.0,61510698.548,148484949.555,
33,TRIDENT INSURANCE COMPANY LTD,26860.0,,,54204.0,,,2017,1331853.0,32231.0,501394.0,862690.0,601756.0,0.0,519097.0,0.0,945349.0,473039.0,30464.0,561132.0,-119287.0,0.0,-119287.0,409.0,11270.0,2113.0,3068.0,2808.0,1371.0,100294.0,73583.0,0.0,18.0,3776.0,32508.0,274216.0,0.0,505434.0,500000.0,0.0,192586.0,0.0,1333242.0,25000.0,2050828.0,1738389.0,0.0,56351.0,535613.0,4381181.0,240660.0,1716399.0,10838.0,239061.0,20193.0,615600.0,20000.0,0.0,0.0,6220.0,7985.0,0.0,0.0,1000522.0,0.0,98589.0,8092.0,261730.0,31936.0,33553.0,69803.0,4381181.0,360.0,7300.0,3206.0,7317.0,4733.0,7113.0,250919.0,141110.0,21424.0,9587.0,2752.0,51511.0,412282.0,25735.0,945349.0,409.0,7888.0,1974.0,950.0,3547.0,-1589.0,74853.0,15025.0,0.0,60.0,7659.0,-1199.0,363462.0,0.0,473039.0,65968377.709,333625854.197,
34,UAP INSURANCE COMPANY,35990.0,,,78944.0,,,2017,9668823.0,136074.0,1623114.0,8181783.0,3286390.0,0.0,3279558.0,0.0,8188615.0,5039847.0,714138.0,2126102.0,308529.0,1015619.0,1324148.0,0.0,14077.0,14183.0,56143.0,7829.0,23864.0,1044443.0,686783.0,0.0,22144.0,54311.0,74992.0,2979063.0,17794.0,4995626.0,1000000.0,0.0,0.0,0.0,4685317.0,2084043.0,7769361.0,6654904.0,0.0,0.0,1170227.0,15594492.0,0.0,3711700.0,44349.0,3842735.0,0.0,0.0,715752.0,0.0,0.0,1366087.0,61997.0,0.0,0.0,1165129.0,291833.0,729959.0,514569.0,1646061.0,957041.0,227780.0,319499.0,15594492.0,0.0,43872.0,101208.0,235994.0,73494.0,72067.0,1424096.0,1170747.0,0.0,77830.0,168210.0,254722.0,4557555.0,8823.0,8188615.0,0.0,-2484.0,21520.0,31456.0,5477.0,24408.0,1123817.0,496595.0,0.0,13047.0,42059.0,48772.0,3188745.0,46434.0,5039846.0,756636635.901,2022131390.863,
35,XPLICO INSURANCE COMPANY LTD,0.0,,,0.0,,,2017,804371.0,0.0,47956.0,756415.0,360685.0,0.0,171929.0,0.0,945171.0,385845.0,94377.0,477616.0,-12667.0,3498.0,-9169.0,0.0,0.0,27.0,0.0,0.0,511.0,173062.0,47934.0,0.0,0.0,0.0,968.0,7014.0,300.0,229816.0,887500.0,0.0,19670.0,0.0,223121.0,220000.0,1350291.0,645741.0,0.0,0.0,289564.0,2285596.0,0.0,657300.0,111800.0,86700.0,103000.0,245251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19784.0,0.0,214108.0,75562.0,507252.0,152983.0,81486.0,30372.0,2285596.0,319.0,-4761.0,96.0,887.0,1516.0,-220.0,382202.0,119331.0,293649.0,145.0,1432.0,803.0,136961.0,12811.0,945171.0,55.0,-186.0,25.0,-13.0,-441.0,-47.0,61940.0,91935.0,172598.0,729.0,-97.0,264.0,66568.0,-7488.0,385842.0,0.0,0.0,
